tweet_id,favorite_count,retweet_count,source
831911600680497154,30380,7458,Twitter for iPhone
831670449226514432,11469,2059,Twitter for iPhone
831650051525054464,7908,2243,Twitter for iPhone
831552930092285952,9872,2632,Twitter for iPhone
831322785565769729,10042,1744,Twitter for iPhone
831315979191906304,7117,1264,Twitter Web Client
831309418084069378,12819,2786,Twitter for iPhone
831262627380748289,13066,2350,Twitter for iPhone
830956169170665475,8735,1735,Twitter for iPhone
830583320585068544,73397,19297,Twitter for iPhone
830173239259324417,0,6554,Twitter for iPhone
830097400375152640,10804,3455,Twitter for iPhone
829878982036299777,0,5757,Twitter for iPhone
829861396166877184,13441,2243,Twitter for iPhone
829501995190984704,34913,12224,Twitter for iPhone
829449946868879360,11519,2329,Twitter for iPhone
829374341691346946,38074,10706,Twitter for iPhone
829141528400556032,26952,8530,Twitter for iPhone
829011960981237760,58302,18627,Twitter for iPhone
828801551087042563,0,3901,Twitter for iPhone
828770345708580865,28085,6746,Twitter for iPhone
828708714936930305,40241,12882,Twitter for iPhone
828650029636317184,10467,1544,Twitter for iPhone
828409743546925057,6898,1305,Twitter for iPhone
828408677031882754,8398,1477,Twitter for iPhone
828381636999917570,13864,2554,Twitter for iPhone
828376505180889089,8112,1216,Twitter for iPhone
828372645993398273,13756,3344,Twitter for iPhone
828361771580813312,2408,195,Twitter Web Client
828046555563323392,12923,3260,Twitter for iPhone
828011680017821696,11411,2451,Twitter for iPhone
827933404142436356,22180,5987,Twitter for iPhone
827653905312006145,16983,3433,Twitter for iPhone
827600520311402496,8143,1082,Twitter for iPhone
827324948884643840,17523,3510,Twitter for iPhone
827228250799742977,0,13517,Twitter for iPhone
827199976799354881,11659,2579,Twitter for iPhone
826958653328592898,23767,5757,Twitter for iPhone
826848821049180160,40325,11878,Twitter for iPhone
826615380357632002,0,4521,Twitter for iPhone
826598799820865537,5637,292,Twitter for iPhone
826598365270007810,11117,2709,Twitter for iPhone
826476773533745153,20275,4821,Twitter for iPhone
826240494070030336,14614,2965,Twitter for iPhone
826204788643753985,5361,1075,Twitter for iPhone
826115272272650244,17299,3599,Twitter for iPhone
825876512159186944,11525,2146,Twitter for iPhone
825829644528148480,14025,2848,Twitter for iPhone
825535076884762624,56413,19669,Twitter for iPhone
825147591692263424,20181,5244,Twitter for iPhone
825120256414846976,0,1483,Twitter for iPhone
825026590719483904,7020,1483,Twitter for iPhone
824796380199809024,0,6288,Twitter for iPhone
824775126675836928,16508,4069,Twitter for iPhone
824663926340194305,11113,1993,Twitter for iPhone
824325613288833024,12999,11848,Twitter for iPhone
824297048279236611,16625,4463,Twitter for iPhone
824025158776213504,5255,679,Twitter for iPhone
823939628516474880,11755,3123,Twitter for iPhone
823719002937630720,0,12953,Twitter for iPhone
823699002998870016,13826,2772,Twitter for iPhone
823581115634085888,14376,3031,Twitter for iPhone
823333489516937216,777,31,Twitter for iPhone
823322678127919110,17437,4637,Twitter for iPhone
823269594223824897,0,11421,Twitter for iPhone
822975315408461824,19139,3958,Twitter for iPhone
822872901745569793,132810,48265,Twitter for iPhone
822859134160621569,14576,2622,Twitter for iPhone
822647212903690241,0,7390,Twitter for iPhone
822610361945911296,16327,3423,Twitter for iPhone
822489057087389700,20083,7390,Twitter for iPhone
822462944365645825,31800,17209,Twitter for iPhone
822244816520155136,38832,11421,Twitter for iPhone
822163064745328640,0,5571,Twitter for iPhone
821886076407029760,12582,2692,Twitter for iPhone
821813639212650496,0,3839,Twitter for iPhone
821765923262631936,9317,1899,Twitter for iPhone
821522889702862852,8871,2030,Twitter for iPhone
821421320206483457,0,6470,Twitter for iPhone
821407182352777218,13075,5053,Twitter for iPhone
821153421864615936,280,10,Twitter for iPhone
821149554670182400,9718,2320,Twitter for iPhone
821107785811234820,10645,2487,Twitter for iPhone
821044531881721856,14021,2636,Twitter for iPhone
820837357901512704,0,7733,Twitter for iPhone
820749716845686786,34984,11525,Twitter for iPhone
820690176645140481,13518,3716,Twitter for iPhone
820494788566847489,0,648,Twitter for iPhone
820446719150292993,0,2980,Twitter for iPhone
820314633777061888,3706,648,Twitter for iPhone
820078625395449857,21979,7246,Twitter for iPhone
820013781606658049,0,1369,Twitter for iPhone
819952236453363712,5927,1369,Twitter for iPhone
819924195358416896,14305,5607,Twitter for iPhone
819711362133872643,14916,3604,Twitter for iPhone
819588359383371776,10606,2271,Twitter for iPhone
819347104292290561,8008,1383,Twitter for iPhone
819238181065359361,2550,462,Twitter Web Client
819227688460238848,25652,7733,Twitter for iPhone
819015337530290176,0,42228,Twitter for iPhone
819015331746349057,0,21794,Twitter for iPhone
819006400881917954,49960,21794,Twitter for iPhone
819004803107983360,95450,42228,Twitter for iPhone
818646164899774465,0,24069,Twitter for iPhone
818627210458333184,24597,8564,Twitter for iPhone
818614493328580609,10971,2982,Twitter for iPhone
818588835076603904,0,7126,Twitter for iPhone
818536468981415936,12127,2873,Twitter for iPhone
818307523543449600,0,9366,Twitter for iPhone
818259473185828864,12197,2621,Twitter for iPhone
818145370475810820,13671,3014,Twitter for iPhone
817908911860748288,5356,906,Twitter for iPhone
817827839487737858,57622,31314,Twitter for iPhone
817777686764523521,11901,3084,Twitter for iPhone
817536400337801217,13105,3505,Twitter for iPhone
817502432452313088,0,3917,Twitter for iPhone
817423860136083457,38260,17504,Twitter for iPhone
